name,games,seconds played,O Points,O Conversions,D Points,D Conversions,touches,throws,catches,goals,assists,pulls,pull	 hangtime,callies,bad callies,stalls,throwaways,drops,OB Pulls,penalties(turnover)
,1,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,194,0,0,0
Allan L,8,9901,24,12,99,30,84,101,75,5,5,58,6.89453448276,0,0,0,9,2,2,0
Dylan T,11,20637,209,160,22,12,372,408,299,14,48,3,7.05966666667,0,0,1,31,6,1,1
F Wooten,10,8294,45,33,63,16,55,64,41,5,4,22,7.24314285714,0,0,0,4,0,0,0
Sun,1,1889,2,1,16,7,11,11,11,0,2,2,6.9515,0,0,0,2,0,0,0
Vickroy,1,2009,2,1,18,7,10,7,8,2,1,1,5.387,0,0,0,0,0,0,0
Sebbi D,6,4755,5,5,58,21,37,44,32,2,2,2,5.492,0,0,0,3,0,0,0
Dylan,1,1208,15,11,2,1,33,34,24,2,4,0,0,0,0,0,2,0,0,0
S Sears,10,12645,34,19,123,30,48,35,36,12,5,0,0,0,0,0,3,0,0,1
B. Liu,3,4892,22,15,47,14,46,53,41,2,6,0,0,0,0,0,2,0,0,0
RSimmons,5,3830,2,1,52,20,20,14,16,4,3,0,0,0,0,0,2,2,0,0
Kyle S,15,27077,280,216,36,22,542,553,381,16,29,4,6.8855,1,0,0,23,3,0,0
J Clark,10,18734,169,121,30,14,269,243,241,26,19,13,7.6306,0,0,0,19,4,1,0
B Hannah,9,13402,77,49,90,26,142,134,127,15,15,25,6.43496,0,0,1,14,4,3,1
Leonard,1,1203,14,12,1,1,21,20,19,1,3,0,0,0,0,0,0,0,0,0
A Olsen,11,11628,8,4,141,41,66,57,60,6,4,0,0,0,0,1,4,2,0,0
Breault,10,12506,42,28,130,49,125,127,115,9,20,15,5.19,0,0,0,9,2,1,0
Anonymous,1,0,0,0,0,0,3,7,1,0,0,0,0,0,0,0,2,1,0,0
TGoforth,8,7895,28,16,77,23,36,38,33,2,5,1,4.802,0,0,0,5,1,0,0
RBradham,11,12590,8,5,165,53,62,40,40,22,5,0,0,0,0,0,6,0,0,0
R Runner,11,23293,50,32,216,68,195,261,182,11,17,53,6.28878846154,0,0,0,21,1,2,1
Matt S,13,21754,240,185,29,16,291,223,225,66,17,1,6.7,0,0,0,3,2,0,1
Erickson,1,657,10,6,2,1,10,9,9,1,1,0,0,0,0,0,0,0,0,0
J Feng,4,3352,3,1,44,14,37,35,35,2,2,1,7.736,0,0,0,2,1,0,0
Tree,1,1483,1,0,16,7,5,8,4,1,2,0,0,0,0,0,1,0,0,0
M. Poole,8,12553,160,129,13,10,218,209,174,11,16,0,0,0,0,0,7,1,0,0
Boezi,1,107,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
M Spear,12,19753,42,25,216,61,181,205,169,11,27,133,6.62411111111,0,0,1,31,3,5,0
Poole,1,1118,16,12,1,1,23,20,19,3,2,0,0,0,0,0,0,0,0,0
S. Hicks,13,15390,154,125,56,20,191,184,136,16,16,21,6.40542105263,0,0,1,10,2,3,2
A Taylor,1,836,13,9,0,0,25,23,24,1,2,0,0,0,0,0,1,1,0,0
D Cox,7,6300,10,7,76,17,28,24,25,3,2,0,0,0,0,0,4,0,0,0
Jack K,9,9689,31,19,111,32,70,62,62,8,3,0,0,0,0,0,4,1,0,0
Gainer,1,1341,16,12,4,2,26,22,23,3,2,0,0,0,0,0,0,1,0,0
Kelvin W,1,1292,1,1,16,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Archie,13,17569,22,9,196,61,57,47,46,11,12,0,0,0,0,0,3,1,0,0
Trenton,1,1159,14,10,3,2,9,5,5,4,0,0,0,0,0,0,1,0,0,0
Berendes,1,1035,1,1,12,5,4,4,3,1,0,0,0,0,0,0,1,0,0,0
T Spinks,11,19583,37,21,207,59,90,82,81,9,7,0,0,0,0,0,8,2,0,0
R James,10,7727,11,7,117,39,44,38,37,7,2,0,0,0,0,0,2,0,0,0
Runner,1,1695,2,1,16,6,11,23,11,0,2,12,6.58354545455,0,0,0,1,1,1,0
JP Burns,1,1846,2,1,15,7,11,11,10,1,1,0,0,1,0,0,1,2,0,0
B. Moore,11,21211,219,166,30,14,225,200,193,25,21,1,5.722,0,0,0,9,3,0,0
Sears,1,949,0,0,12,6,3,2,2,1,0,0,0,0,0,0,0,0,0,0
Sun Choi,4,2993,5,3,44,13,24,21,19,4,0,0,0,0,0,0,5,0,0,0
Bradham,1,798,0,0,12,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0
C. Olsen,10,19392,193,155,27,15,298,266,266,31,30,0,0,0,0,0,18,0,0,1
Matt K.,9,11893,71,48,95,26,135,158,111,1,13,8,6.7815,0,0,0,10,2,0,0
