name,games,seconds played,O Points,O Conversions,D Points,D Conversions,touches,throws,catches,goals,assists,pulls,pull	 hangtime,callies,bad callies,stalls,throwaways,drops,OB Pulls,penalties(turnover)
,1,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,237,0,0,0
Flint J,1,565,0,0,10,5,4,5,4,0,0,0,0,0,0,0,1,0,0,0
Ludwig K,7,7848,64,44,13,7,57,53,51,6,7,0,0,0,0,0,5,0,0,0
Awerbu B,11,10331,86,62,51,23,192,201,138,5,5,1,7.14,0,0,0,13,0,0,0
Aulett M,14,20313,216,148,25,11,453,444,384,23,30,1,4.962,0,0,2,28,6,0,0
Weiner M,10,7210,57,36,14,4,41,39,38,3,2,0,0,0,0,0,1,0,0,0
Ward R,16,22506,19,11,224,98,101,83,71,30,8,0,0,0,0,0,9,1,0,0
Steven M,14,20098,207,132,12,7,145,107,106,38,6,0,0,0,0,0,7,4,0,0
Farrel T,11,11825,5,4,154,60,59,48,47,12,6,4,6.74275,0,0,0,4,0,0,0
McLaug B,8,7001,9,8,77,30,42,58,42,0,3,21,6.10752380952,0,0,1,7,0,1,0
Ye R,6,5167,33,22,33,13,77,83,65,0,2,1,7.969,0,0,0,5,0,0,0
Wining L,6,9303,91,56,8,3,158,168,123,2,14,0,0,0,0,1,12,2,0,0
Guerin I,13,11140,4,2,118,54,39,36,31,8,5,0,0,0,0,0,4,0,0,0
Baum M,10,10870,21,14,86,37,82,114,75,2,8,25,6.81492,0,0,0,20,1,6,0
LeMar M,16,18653,6,4,234,94,164,189,152,12,24,16,6.3068125,0,0,0,20,1,1,0
Skware K,9,6276,89,60,6,2,154,153,114,3,8,2,6.8,0,0,2,13,1,0,2
Wilkes A,11,12342,118,79,31,10,113,97,99,14,5,0,0,0,0,0,4,1,0,0
Ouelle J,9,7817,1,1,91,36,32,30,29,3,5,0,0,0,0,0,2,0,0,0
Brooks T,13,15601,212,145,12,4,277,260,251,24,44,6,7.14783333333,0,0,2,26,0,1,0
Bryant I,13,20106,33,21,189,82,209,294,189,5,34,10,5.3846,0,0,1,17,5,2,0
Bemis E,12,9325,94,61,26,11,71,56,57,14,3,0,0,0,0,0,5,0,0,0
Snyder M,3,1885,0,0,31,13,20,26,18,2,4,0,0,0,0,1,0,0,0,0
Ivers B,14,24525,19,13,233,92,95,70,70,25,3,0,0,0,0,0,1,0,0,0
Drost R,15,25133,62,43,255,105,183,172,157,26,20,0,0,0,0,0,18,0,0,0
Dixon G,13,16646,82,56,116,47,374,403,325,6,22,0,0,0,0,4,25,2,0,0
Babbin J,6,4541,2,1,56,23,33,34,30,2,3,26,6.23446153846,0,0,0,5,0,1,0
Katz B,12,19639,187,120,38,11,374,399,300,12,32,1,6.404,0,0,0,43,1,0,0
Marsh J,6,7966,117,76,3,1,131,112,111,20,15,0,0,0,0,0,17,1,0,0
Taylor S,15,24625,20,13,261,100,142,137,128,13,9,229,6.65560526316,0,0,0,9,3,20,0
Yz I,10,10176,126,82,8,2,121,110,103,18,12,5,6.39,0,0,0,12,0,0,0
Drost M,13,22448,22,16,245,93,169,158,145,24,13,0,0,0,0,1,13,1,0,0
