Name,Games,Minutes Played,O Points,O Conversions,D Points,D Conversions,Touches,Throws,Catches,Goals,Assists,Pulls,Average Pull Hangtime,Callahans,Callahans Thrown,Stalls,Throwaways,Drops,Pulls OB,Penalties, Team
,1,1.46666666667,2,2,2,0,0,230,0,0,0,0,0,0,0,0,230,0,0,0,Madison Radicals2015  
C Wilen,7,132.15,14,7,86,24,17,12,12,4,3,2,4.941,0,0,0,1,2,0,0,Madison Radicals2015  
J Spiro,3,32.8,0,0,28,14,2,1,1,1,1,0,0,0,0,0,0,0,0,0,Madison Radicals2015  
J Sculli,17,294.9,152,127,62,31,264,289,202,5,21,4,6.41633333333,0,0,0,11,5,0,0,Madison Radicals2015  
K Garner,7,119.933333333,8,6,95,43,53,63,49,3,9,51,8.08261538462,0,0,1,2,1,1,0,Madison Radicals2015  
Cooli,16,314.1,190,149,40,21,227,207,203,20,6,0,0,0,0,0,11,3,0,0,Madison Radicals2015  
N Thib,6,109.516666667,66,52,10,6,70,60,59,10,12,0,0,0,0,0,2,2,0,0,Madison Radicals2015  
S Rich,9,191.8,106,84,42,12,125,111,105,19,16,0,0,0,0,3,8,1,0,0,Madison Radicals2015  
Animal,7,172.9,97,76,17,8,190,196,165,10,9,0,0,0,0,0,12,4,0,0,Madison Radicals2015  
S Meyer,12,275.683333333,36,18,162,55,53,35,31,22,8,0,0,0,0,0,3,2,0,0,Madison Radicals2015  
B Keren,5,65.35,46,35,4,3,91,116,75,3,5,0,0,0,0,0,1,1,0,1,Madison Radicals2015  
K Alex,12,188.55,28,20,122,57,93,92,86,7,5,0,0,0,0,0,6,0,0,0,Madison Radicals2015  
Anonymous,1,0.0,0,0,0,0,107,11,2,0,0,0,0,0,0,0,0,0,0,0,Madison Radicals2015  
B Ever,15,468.383333333,59,40,256,112,225,298,192,14,18,0,0,0,0,0,9,0,0,0,Madison Radicals2015  
KPS,14,261.816666667,30,22,164,63,81,72,68,13,13,9,6.626,0,0,0,7,2,0,0,Madison Radicals2015  
M Swain,12,220.966666667,37,29,126,57,94,81,77,17,8,1,0,0,0,0,12,1,0,1,Madison Radicals2015  
T Debyl,4,74.4,3,0,56,21,9,8,8,1,2,0,0,0,0,0,0,1,0,0,Madison Radicals2015  
B Nelson,15,307.4,32,17,182,72,146,186,137,3,15,9,5.07533333333,0,0,0,11,1,0,0,Madison Radicals2015  
A Brown,15,329.183333333,191,148,30,20,551,600,515,8,24,0,0,0,0,2,14,11,0,0,Madison Radicals2015  
J Froude,10,275.75,45,34,181,71,98,79,77,21,19,1,5.166,0,0,0,10,3,0,1,Madison Radicals2015  
C Camp,11,228.55,133,104,15,10,152,113,118,33,13,0,0,0,0,1,8,3,0,0,Madison Radicals2015  
A Mesh,17,568.566666667,83,56,337,138,204,175,163,39,34,6,6.7458,0,0,0,25,4,0,0,Madison Radicals2015  
P Graffy,9,306.0,37,21,186,82,113,99,97,16,18,91,6.21463855422,0,0,0,7,4,5,1,Madison Radicals2015  
K Brown,12,374.933333333,52,33,214,79,143,140,129,14,13,178,5.79963559322,0,0,0,14,2,7,2,Madison Radicals2015  
D Schlei,6,75.6333333333,53,38,4,2,61,48,48,13,3,0,0,0,0,0,3,0,0,0,Madison Radicals2015  
D Wise,15,326.516666667,180,146,42,19,231,197,187,38,38,13,5.23454545455,0,0,0,16,6,0,0,Madison Radicals2015  
B Hart,13,288.45,159,122,53,27,294,292,236,28,30,0,0,0,0,2,18,4,0,0,Madison Radicals2015  
N Volk,4,62.6666666667,54,40,3,1,92,101,77,0,4,0,0,0,0,0,4,4,0,0,Madison Radicals2015  
M Weber,10,194.35,18,8,131,48,30,13,13,17,4,0,0,0,0,0,0,0,0,0,Madison Radicals2015  
B Taitt,1,11.3166666667,0,0,9,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Madison Radicals2015  
Buddy,13,218.683333333,24,16,161,63,63,51,46,16,16,50,6.20047826087,0,0,0,1,0,3,0,Madison Radicals2015  
