Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs)
2016-04-09 19:00,,Charlotte Express,73,D,1,0,Defense,Pull,,,Runner,6.041,Tree,Runner,JP Burns,Sun,Bradham,Vickroy,C Olsen,,,,,,,,,,,,,,,,,,,,,,0
2016-04-09 19:00,,Charlotte Express,73,D,1,0,Defense,Throwaway,,,Anonymous,,Tree,Runner,JP Burns,Sun,Bradham,Vickroy,C Olsen,,,,,,,,,,,,,,,,,,,,,,43
2016-04-09 19:00,,Charlotte Express,73,D,1,0,Offense,Catch,Runner,C Olsen,,,Tree,Runner,JP Burns,Sun,Bradham,Vickroy,C Olsen,,,,,,,,,,,,,,,,,,,,,,46
2016-04-09 19:00,,Charlotte Express,73,D,1,0,Offense,Catch,C Olsen,Sun,,,Tree,Runner,JP Burns,Sun,Bradham,Vickroy,C Olsen,,,,,,,,,,,,,,,,,,,,,,50
2016-04-09 19:00,,Charlotte Express,73,D,1,0,Offense,Catch,Sun,Tree,,,Tree,Runner,JP Burns,Sun,Bradham,Vickroy,C Olsen,,,,,,,,,,,,,,,,,,,,,,54
2016-04-09 19:00,,Charlotte Express,73,D,1,0,Offense,Catch,Tree,Sun,,,Tree,Runner,JP Burns,Sun,Bradham,Vickroy,C Olsen,,,,,,,,,,,,,,,,,,,,,,58
2016-04-09 19:00,,Charlotte Express,73,D,1,0,Offense,Catch,Sun,JP Burns,,,Tree,Runner,JP Burns,Sun,Bradham,Vickroy,C Olsen,,,,,,,,,,,,,,,,,,,,,,63
2016-04-09 19:00,,Charlotte Express,73,D,1,0,Offense,Catch,JP Burns,Vickroy,,,Tree,Runner,JP Burns,Sun,Bradham,Vickroy,C Olsen,,,,,,,,,,,,,,,,,,,,,,67
2016-04-09 19:00,,Charlotte Express,73,D,1,0,Offense,Goal,Vickroy,Runner,,,Tree,Runner,JP Burns,Sun,Bradham,Vickroy,C Olsen,,,,,,,,,,,,,,,,,,,,,,71
2016-04-09 19:00,,Charlotte Express,96,D,1,1,Defense,Pull,,,Allan L,5.588,Wooten,Breault,Allan L,Bradham,Erickson,Boecking,Sears,,,,,,,,,,,,,,,,,,,,,,141
2016-04-09 19:00,,Charlotte Express,96,D,1,1,Defense,Throwaway,,,Anonymous,,Wooten,Breault,Allan L,Bradham,Erickson,Boecking,Sears,,,,,,,,,,,,,,,,,,,,,,180
2016-04-09 19:00,,Charlotte Express,96,D,1,1,Offense,Catch,Allan L,Wooten,,,Wooten,Breault,Allan L,Bradham,Erickson,Boecking,Sears,,,,,,,,,,,,,,,,,,,,,,201
2016-04-09 19:00,,Charlotte Express,96,D,1,1,Offense,Throwaway,Wooten,Anonymous,,,Wooten,Breault,Allan L,Bradham,Erickson,Boecking,Sears,,,,,,,,,,,,,,,,,,,,,,205
2016-04-09 19:00,,Charlotte Express,96,D,1,1,Defense,Goal,,,Anonymous,,Wooten,Breault,Allan L,Bradham,Erickson,Boecking,Sears,,,,,,,,,,,,,,,,,,,,,,235
2016-04-09 19:00,,Charlotte Express,149,O,2,1,Offense,Catch,Kyle S,Dylan,,,Kyle S,Dylan,Poole,Trenton,Leonard,Boecking,Gainer,,,,,,,,,,,,,,,,,,,,,,289
2016-04-09 19:00,,Charlotte Express,149,O,2,1,Offense,Catch,Dylan,Poole,,,Kyle S,Dylan,Poole,Trenton,Leonard,Boecking,Gainer,,,,,,,,,,,,,,,,,,,,,,301
2016-04-09 19:00,,Charlotte Express,149,O,2,1,Offense,Catch,Poole,Boecking,,,Kyle S,Dylan,Poole,Trenton,Leonard,Boecking,Gainer,,,,,,,,,,,,,,,,,,,,,,305
2016-04-09 19:00,,Charlotte Express,149,O,2,1,Offense,Catch,Boecking,Poole,,,Kyle S,Dylan,Poole,Trenton,Leonard,Boecking,Gainer,,,,,,,,,,,,,,,,,,,,,,311
2016-04-09 19:00,,Charlotte Express,149,O,2,1,Offense,Catch,Poole,Boecking,,,Kyle S,Dylan,Poole,Trenton,Leonard,Boecking,Gainer,,,,,,,,,,,,,,,,,,,,,,315
2016-04-09 19:00,,Charlotte Express,149,O,2,1,Offense,Catch,Boecking,Leonard,,,Kyle S,Dylan,Poole,Trenton,Leonard,Boecking,Gainer,,,,,,,,,,,,,,,,,,,,,,320
2016-04-09 19:00,,Charlotte Express,149,O,2,1,Offense,Throwaway,Leonard,Anonymous,,,Kyle S,Dylan,Poole,Trenton,Leonard,Boecking,Gainer,,,,,,,,,,,,,,,,,,,,,,328
2016-04-09 19:00,,Charlotte Express,149,O,2,1,Defense,D,,,Gainer,,Kyle S,Dylan,Poole,Trenton,Leonard,Boecking,Gainer,,,,,,,,,,,,,,,,,,,,,,396
2016-04-09 19:00,,Charlotte Express,149,O,2,1,Offense,Catch,Gainer,Dylan,,,Kyle S,Dylan,Poole,Trenton,Leonard,Boecking,Gainer,,,,,,,,,,,,,,,,,,,,,,399
2016-04-09 19:00,,Charlotte Express,149,O,2,1,Offense,Catch,Dylan,Poole,,,Kyle S,Dylan,Poole,Trenton,Leonard,Boecking,Gainer,,,,,,,,,,,,,,,,,,,,,,402
2016-04-09 19:00,,Charlotte Express,149,O,2,1,Offense,Catch,Poole,Kyle S,,,Kyle S,Dylan,Poole,Trenton,Leonard,Boecking,Gainer,,,,,,,,,,,,,,,,,,,,,,407
2016-04-09 19:00,,Charlotte Express,149,O,2,1,Offense,Catch,Kyle S,Poole,,,Kyle S,Dylan,Poole,Trenton,Leonard,Boecking,Gainer,,,,,,,,,,,,,,,,,,,,,,411
2016-04-09 19:00,,Charlotte Express,149,O,2,1,Offense,Catch,Poole,Dylan,,,Kyle S,Dylan,Poole,Trenton,Leonard,Boecking,Gainer,,,,,,,,,,,,,,,,,,,,,,414
2016-04-09 19:00,,Charlotte Express,149,O,2,1,Offense,Catch,Dylan,Poole,,,Kyle S,Dylan,Poole,Trenton,Leonard,Boecking,Gainer,,,,,,,,,,,,,,,,,,,,,,419
2016-04-09 19:00,,Charlotte Express,149,O,2,1,Offense,Catch,Poole,Dylan,,,Kyle S,Dylan,Poole,Trenton,Leonard,Boecking,Gainer,,,,,,,,,,,,,,,,,,,,,,422
2016-04-09 19:00,,Charlotte Express,149,O,2,1,Offense,Catch,Dylan,Poole,,,Kyle S,Dylan,Poole,Trenton,Leonard,Boecking,Gainer,,,,,,,,,,,,,,,,,,,,,,432
